H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z
BosCrete07	Hs06	Min11	170095	185435	-0.04314685	-0.04314685	0.03100433	-1.39164
BosCrete08	Hs06	Min11	169554	186429	-0.04740395	-0.04740395	0.03069996	-1.544104
BosCrete09	Hs06	Min11	163359	178394	-0.04399376	-0.04399376	0.03091635	-1.422993
PSP01	Hs06	Min11	135381	134503	0.00325325	0.00325325	0.009219134	0.3528802
PSP02	Hs06	Min11	137097	135044	0.007543884	0.007543884	0.009072649	0.8314973
PSP03	Hs06	Min11	140948	137990	0.01060451	0.01060451	0.01029137	1.030427
PSP07	Hs06	Min11	139310	136567	0.009942837	0.009942837	0.009311356	1.067818
PSP08	Hs06	Min11	139558	140276	-0.002565807	-0.002565807	0.01016592	-0.252393
PSP09	Hs06	Min11	140227	137905	0.008348554	0.008348554	0.008735286	0.9557276
PSP12	Hs06	Min11	140076	138732	0.004820522	0.004820522	0.01013752	0.4755129
PSP15	Hs06	Min11	137095	138145	-0.003814852	-0.003814852	0.009893939	-0.3855747
PSP20	Hs06	Min11	139499	133231	0.02298244	0.02298244	0.009379979	2.450159
Hs01	Hs06	Min11	137231	137805	-0.002087	-0.002087	0.009394849	-0.222143
Hs02	Hs06	Min11	139922	141693	-0.006288728	-0.006288728	0.01071917	-0.5866804
Hs03	Hs06	Min11	141004	135000	0.02175331	0.02175331	0.008973212	2.42425
Hs04	Hs06	Min11	133715	137909	-0.01544046	-0.01544046	0.009987343	-1.546003
Hs05	Hs06	Min11	138381	136136	0.008178	0.008178	0.009939013	0.8228181
Min01	Hs07	Min11	143366	202468	-0.170897	-0.170897	0.02063106	-8.283484
Min02	Hs07	Min11	130126	220590	-0.2579409	-0.2579409	0.01803928	-14.29885
Min03	Hs07	Min11	144420	205447	-0.1744291	-0.1744291	0.02085334	-8.364568
Min04	Hs07	Min11	147447	197108	-0.1441308	-0.1441308	0.02222498	-6.485082
Min05	Hs07	Min11	142059	205754	-0.18313	-0.18313	0.0213662	-8.571015
Min06	Hs07	Min11	145150	210947	-0.1847727	-0.1847727	0.02292748	-8.059005
Min07	Hs07	Min11	142033	192810	-0.1516442	-0.1516442	0.02088413	-7.261216
Min08	Hs07	Min11	145433	204486	-0.1687619	-0.1687619	0.02031813	-8.305978
Min09	Hs07	Min11	140289	192384	-0.1565952	-0.1565952	0.0212343	-7.374636
Min10	Hs07	Min11	154593	197905	-0.1228716	-0.1228716	0.02503721	-4.907561
BosCrete01	Hs07	Min11	174766	191298	-0.0451615	-0.0451615	0.03060312	-1.475716
BosCrete02	Hs07	Min11	171170	193253	-0.06059716	-0.06059716	0.03036802	-1.995427
BosCrete03	Hs07	Min11	172029	190116	-0.04994408	-0.04994408	0.03071517	-1.62604
BosCrete04	Hs07	Min11	173361	190714	-0.04766326	-0.04766326	0.03063913	-1.555633
BosCrete05	Hs07	Min11	171900	188725	-0.04665511	-0.04665511	0.03087082	-1.511301
BosCrete06	Hs07	Min11	174163	191440	-0.04725618	-0.04725618	0.03059444	-1.5446
